wikipedia_page_id,wikipedia_title,wikipedia_url,latitude,longitude,match_method,match_distance_meters,candidate_count,candidate_bldgids,matched_bldgid,confidence_status,decision_status,review_reason,previous_title,previous_latitude,previous_longitude
30516436,Cambridge Center for Adult Education,https://en.wikipedia.org/wiki/Cambridge_Center_for_Adult_Education,42.373694444444446,-71.12155555555555,contained,0.00,1,355-6,355-6,strong,approved,Preserved human approved decision.,,42.373694444444446,-71.12155555555555
31094062,Lizard Lounge,https://en.wikipedia.org/wiki/Lizard_Lounge,42.382111111111115,-71.11952777777778,nearest,1.42,1,214-7,214-7,ambiguous,rejected,Preserved human rejected decision.,,42.382111111111115,-71.11952777777778
31168577,Grand Junction Railroad Bridge,https://en.wikipedia.org/wiki/Grand_Junction_Railroad_Bridge,42.352608333333336,-71.11034722222222,none,,0,,,unmatched,rejected,Preserved human rejected decision.,,42.352608333333336,-71.11034722222222
31631357,Fairbank Center for Chinese Studies,https://en.wikipedia.org/wiki/Fairbank_Center_for_Chinese_Studies,42.375,-71.113,contained,0.00,1,325-6,325-6,strong,approved,Preserved human approved decision.,,42.375,-71.113
32025740,Harvard Institute for International Development,https://en.wikipedia.org/wiki/Harvard_Institute_for_International_Development,42.370956,-71.121997,contained,0.00,1,398-1,398-1,strong,rejected,Preserved human rejected decision.,,42.370956,-71.121997
32112813,Mount Auburn Hospital,https://en.wikipedia.org/wiki/Mount_Auburn_Hospital,42.374414,-71.133776,contained,0.00,1,330-3,330-3,strong,approved,Preserved human approved decision.,,42.374414,-71.133776
32757155,"Timeline of Cambridge, Massachusetts","https://en.wikipedia.org/wiki/Timeline_of_Cambridge,_Massachusetts",42.373611,-71.110556,nearest,21.22,1,328-8,328-8,ambiguous,rejected,Preserved human rejected decision.,,42.373611,-71.110556
32944279,Ryles Jazz Club,https://en.wikipedia.org/wiki/Ryles_Jazz_Club,42.37305555555555,-71.10027777777778,contained,0.00,1,374-8,374-8,strong,approved,Preserved human approved decision.,,42.37305555555555,-71.10027777777778
33783205,Lamont Library,https://en.wikipedia.org/wiki/Lamont_Library,42.37277,-71.11548,contained,0.00,1,318-35,318-35,strong,approved,Preserved human approved decision.,,42.37277,-71.11548
35803900,Manter Hall School,https://en.wikipedia.org/wiki/Manter_Hall_School,42.372,-71.1182,contained,0.00,1,389-11,389-11,strong,approved,Preserved human approved decision.,,42.372,-71.1182
36022193,Glove Cycle,https://en.wikipedia.org/wiki/Glove_Cycle,42.38851388888889,-71.11927777777777,none,,0,,,unmatched,rejected,Preserved human rejected decision.,,42.38851388888889,-71.11927777777777
37024806,Malkin Athletic Center,https://en.wikipedia.org/wiki/Malkin_Athletic_Center,42.3714,-71.1194,contained,0.00,1,405-20,405-20,strong,approved,Preserved human approved decision.,,42.3714,-71.1194
37304775,Statue of John Harvard,https://en.wikipedia.org/wiki/Statue_of_John_Harvard,42.37447,-71.11719,nearest,1.61,1,318-16,318-16,ambiguous,rejected,Preserved human rejected decision.,,42.37447,-71.11719
37579425,Hack/reduce,https://en.wikipedia.org/wiki/Hack/reduce,42.36611111111111,-71.08388888888888,contained,0.00,1,585-2,585-2,strong,rejected,Preserved human rejected decision.,,42.36611111111111,-71.08388888888888
37580059,Kendall Boiler and Tank Company,https://en.wikipedia.org/wiki/Kendall_Boiler_and_Tank_Company,42.36611111111111,-71.08388888888888,contained,0.00,1,585-2,585-2,strong,approved,Preserved human approved decision.,,42.36611111111111,-71.08388888888888
37925252,Kahal B'raira,https://en.wikipedia.org/wiki/Kahal_B%27raira,42.3914,-71.1542,contained,0.00,1,65-37,65-37,strong,approved,Preserved human approved decision.,,42.3914,-71.1542
38587084,Cambridge Discovery Park,https://en.wikipedia.org/wiki/Cambridge_Discovery_Park,42.39819444444444,-71.14739722222222,contained,0.00,1,9-10,9-10,strong,rejected,Preserved human rejected decision.,,42.39819444444444,-71.14739722222222
