wikipedia_page_id,wikipedia_title,wikipedia_url,latitude,longitude,match_method,match_distance_meters,candidate_count,candidate_bldgids,matched_bldgid,confidence_status,decision_status,review_reason,previous_title,previous_latitude,previous_longitude
6719465,Schoenhof's Foreign Books,https://en.wikipedia.org/wiki/Schoenhof%27s_Foreign_Books,42.372,-71.11894444444444,nearest,0.16,1,405-15,405-15,ambiguous,needs_review,Nearest footprint is within 25 meters and requires review.,,,
7586188,"North Point (Cambridge, Massachusetts)","https://en.wikipedia.org/wiki/North_Point_(Cambridge,_Massachusetts)",42.37238888888889,-71.07505555555555,contained,0.00,1,378-6,378-6,strong,needs_review,Article coordinate is contained by exactly one building footprint.,,,
8099878,Harvard Film Archive,https://en.wikipedia.org/wiki/Harvard_Film_Archive,42.37365277777778,-71.11473888888888,nearest,7.81,1,333-2,333-2,ambiguous,needs_review,Nearest footprint is within 25 meters and requires review.,,,
8370551,Harvard University Herbaria,https://en.wikipedia.org/wiki/Harvard_University_Herbaria,42.378819444444446,-71.11458888888889,nearest,10.42,1,241-28,241-28,ambiguous,needs_review,Nearest footprint is within 25 meters and requires review.,,,
8489044,The Middle East (nightclub),https://en.wikipedia.org/wiki/The_Middle_East_(nightclub),42.363835,-71.10142,contained,0.00,1,644-4,644-4,strong,needs_review,Article coordinate is contained by exactly one building footprint.,,,
8815249,Lechmere Canal,https://en.wikipedia.org/wiki/Lechmere_Canal,42.36888888888889,-71.07444444444444,nearest,21.84,1,468-4,468-4,ambiguous,needs_review,Nearest footprint is within 25 meters and requires review.,,,
8815819,Broad Canal,https://en.wikipedia.org/wiki/Broad_Canal,42.362511,-71.079211,nearest,19.40,1,999-3849,999-3849,ambiguous,needs_review,Nearest footprint is within 25 meters and requires review.,,,
8881290,Toscanini's,https://en.wikipedia.org/wiki/Toscanini%27s,42.3635,-71.09930555555555,nearest,0.35,1,639-1,639-1,ambiguous,needs_review,Nearest footprint is within 25 meters and requires review.,,,
9115050,MIT Department of Electrical Engineering and Computer Science,https://en.wikipedia.org/wiki/MIT_Department_of_Electrical_Engineering_and_Computer_Science,42.36116666666667,-71.0923611111111,contained,0.00,1,668-38,668-38,strong,needs_review,Article coordinate is contained by exactly one building footprint.,,,
9454178,Murder of Yngve Raustein,https://en.wikipedia.org/wiki/Murder_of_Yngve_Raustein,42.35868055555556,-71.08931666666666,nearest,20.85,1,668-14,668-14,ambiguous,needs_review,Nearest footprint is within 25 meters and requires review.,,,
9462579,St. Paul's Choir School,https://en.wikipedia.org/wiki/St._Paul%27s_Choir_School,42.3708,-71.1154,nearest,8.38,1,457-5,457-5,ambiguous,needs_review,Nearest footprint is within 25 meters and requires review.,,,
